Name,EnrollmentCount,Category,FullAddress,Latitude,Longitude
Browerville High School,151,Tiny,"Browerville Public School, 620 Park Ave N, Browerville, MN 56438, USA",46.0858333,-94.8713889
Buffalo High School,1626,Large,"Buffalo High School, Buffalo, MN 55313, USA",45.1824529,-93.8299406
Buffalo Lake-Hector-Stewart High School,156,Tiny,"Hector, MN 55342, USA",44.7438507,-94.715547
Bug-O-Nay-Ge-Shig School,47,Tiny,"Bug-O-Nay-Ge-Shig School, North Cass, MN 56626, USA",47.3480599,-94.22
Burnsville High School,2530,VeryLarge,"Burnsville High School, 600 Hwy 13 E, Burnsville, MN 55337-2995, USA",44.7852425,-93.265778
Butterfield-Odin High School,57,Tiny,"Butterfield Public School, 440 Hubbard Ave, Butterfield, MN 56120-9486, USA",43.9596791,-94.791371
Byron High School,512,Medium,"Byron High School, Byron, MN 55920, USA",44.0336111,-92.6561111
Caledonia High School,300,Small,"Caledonia, MN 55921, USA",43.6346913,-91.4968076
Calvin Christian High School,65,Tiny,"Calvin Christian High School, 755 73rd Ave NE, Minneapolis, MN 55432-3202, USA",45.1013329,-93.252628
Cambridge Christian School,40,Tiny,"Cambridge Christian School, 2211 Old Main St S, Cambridge, MN 55008-2503, USA",45.549813,-93.226203
Cambridge-Isanti High School,1367,Large,"Cambridge-Isanti High School, 430 8th Ave NW, Cambridge, MN 55008-1097, USA",45.5805555,-93.2294444
Campbell-Tintah High School,35,Tiny,"Campbell Schools, 430 Connecticut Ave, Campbell, MN 56522, USA",46.0955556,-96.4047222
Canby High School,157,Tiny,"Canby High School, 106 Ring Ave N, Canby, MN 56220-1264, USA",44.711111,-96.2791667
Cannon Falls High School,355,Small,"Cannon Falls High School, 820 Minnesota St E, Cannon Falls, MN 55009-2299, USA",44.512654,-92.886535
Cannon Valley Lutheran,27,Tiny,"Cannon Valley Lutheran High School, 404 W Franklin St, Morristown, MN 55052, USA",44.226873,-93.449338
Carlton High School,132,Tiny,"Carlton High School, 310 4th St, Carlton, MN 55718, USA",46.6652778,-92.4227778
Cass Lake-Bena High School,156,Tiny,"Cass Lake-Bena Secondary School, 15308 State 371 NW, Cass Lake, MN 56633, USA",47.355654,-94.613021
Cedar Mountain High School,109,Tiny,"Cedar Mountain High School, 310 Somerville Ave, Morgan, MN 56266, USA",44.4158333,-94.9222221
Centennial High School,2017,VeryLarge,"Centennial Senior, 4757 N Rd, Circle Pines, MN 55014-1545, USA",45.1530243,-93.1496755
Central Minnesota Christian,85,Tiny,"Central Minnesota Christian School, 204 School St, Prinsburg, MN 56281, USA",44.9372432,-95.1861691
Champlin Park High School,2571,VeryLarge,"SCHOOL, 6025 109Th Ave, Champlin, MN 55316-3488, USA",45.151833,-93.355071
Chanhassen High School,1383,Large,"Chanhassen High School, 2200 County Road 18, Chanhassen, MN 55317-4711, USA",44.84331,-93.576908
Chaska High School,1042,Large,"CHASKA HIGH SCHOOL, 2200 County Road 18, Chanhassen, MN 55317-4711, USA",44.84331,-93.576908
Chatfield High School,251,Small,"Chatfield Jr and Senior High School, Chatfield, MN 55923, USA",43.8547222,-92.1902778
Cherry High School,83,Tiny,"Iron Junction, MN 55751, USA",47.416427,-92.60665
Chisago Lakes Area High School,1057,Large,"Lindstrom, MN, USA",45.3894083,-92.8479921
Chisholm High School,159,Tiny,"Chisholm High School, Chisholm, MN 55719, USA",47.4861013,-92.8837997
Chokio-Alberta High School,38,Tiny,"Chokio-Alberta High School, Alberta, MN 56207, USA",45.5755556,-96.0483333
Christ's Household of Faith,36,Tiny,"St Paul, MN, USA",44.9541667,-93.1138889
Clearbrook-Gonvick High School,117,Tiny,"Clearbrook-Gonvick Elementary School, 200 Elm St, Clearbrook, MN 56634, USA",47.6922222,-95.43
