Name,LocationQuery,EnrollmentCount,Category
Eastview High School,Eastview High School,2056,VeryLarge
Eden Prairie High School,Eden Prairie High School,3007,VeryLarge
Eden Valley-Watkins High School,Eden Valley-Watkins High School,225,Small
Edgerton High School,Edgerton High School,95,Tiny
Edina High School,Edina High School,2436,VeryLarge
EdVisions Off Campus High School,EdVisions Off Campus High School in henderson,45,Tiny
El Colegio Charter School,El Colegio Charter School,51,Tiny
El Shaddai School,El Shaddai School,18,Tiny
Elk River High School,Elk River High School,1570,Large
Ellsworth High School,Ellsworth High School,62,Tiny
Ely High School,ely memorial high school in ely,163,Tiny
Esko High School,Esko High School,368,Small
Evansville High School,Evansville secondary School in evansville,47,Tiny
Eveleth-Gilbert High School,Eveleth-Gilbert High School,294,Small
FAIR School,FAIR School,96,Tiny
Fairmont High School,Fairmont High School,494,Small
Faith Christian School,Faith Christian School,24,Tiny
Faribault High School,Faribault High School,946,Medium
Farmington High School,Farmington High School,1565,Large
Fergus Falls High School,Fergus Falls High School,730,Medium
Fertile-Beltrami High School,Fertile-Beltrami High School,135,Tiny
Fillmore Central High School,Fillmore Central High School,159,Tiny
Fisher High School,Fisher High School,76,Tiny
Floodwood High School,Floodwood High School in floodwood,94,Tiny
Foley High School,Foley High School,436,Small
Fond du Lac Ojibwe High School,Fond du Lac Ojibwe School in cloquet,34,Tiny
Forest Lake High School,Forest Lake High School,1952,Large
Fosston High School,Fosston High School,172,Tiny
Four Directions Charter School,Four Directions Charter School,63,Tiny
Frazee High School,Frazee High School,222,Small
Fridley High School,Fridley High School,718,Medium
Fulda High School,Fulda High School,140,Tiny
G-F-W High School,G-F-W High School,265,Small
Glencoe-Silver Lake High School,Glencoe-Silver Lake High School,513,Medium
Glenville-Emmons High School,Glenville-Emmons High School,106,Tiny
Goodhue High School,Goodhue High School in goodhue,194,Tiny
Goodridge High School,Goodridge High School,40,Tiny
Granada-Huntley-East Chain H.S.,Granada-Huntley-East Chain H.S.,89,Tiny
Grand Meadow High School,Grand Meadow High School,80,Tiny
Grand Rapids High School,Grand Rapids High School,947,Medium
Great River Education Center,Great River Education Center,33,Tiny
Great River School,Great River School in saint paul,160,Tiny
Greenbush-Middle River High School,Greenbush-Middle River High School,116,Tiny
Greenway High School,Greenway High School,263,Small
Groves Academy,Groves Academy,69,Tiny
Grygla-Gatzke High School,Grygla-Gatzke High School in grygla,61,Tiny
Hancock High School,Hancock High School in hancock,56,Tiny
Harbor City International School,Harbor City International School,167,Tiny
Harvest Christian School,Harvest Christian School,12,Tiny
Hastings High School,Hastings High School,1452,Large
Hawley High School,Hawley High School,275,Small
Hayfield High School,Hayfield High School,232,Small
Henning High School,Henning High School,84,Tiny
Henry Sibley High School,Henry Sibley High School,1201,Large
Heritage Christian Academy,Heritage Christian Academy,120,Tiny
Herman-Norcross High School,Herman Secondary School in herman,25,Tiny
Hermantown High School,Hermantown High School,626,Medium
Hibbing High School,Hibbing High School,634,Medium
High School for Recording Arts,High School for Recording Arts,145,Tiny
Hill City High School,Hill City High School,74,Tiny
Hillcrest Lutheran Academy,Hillcrest Lutheran Academy,160,Tiny
Hill-Murray School,Hill-Murray School,705,Medium
Hills-Beaver Creek High School,Hills-Beaver Creek High School,98,Tiny
Hinckley-Finlayson High School,Hinckley-Finlayson High School,248,Small
Hmong Academy,Hmong Academy in Saint Paul,210,Small
Holdingford High School,Holdingford High School,292,Small
Holy Family Academy,Holy Family Academy,10,Tiny
Holy Family Catholic High School,Holy Family Catholic High School,595,Medium
Holy Trinity High School,Holy Trinity High School,82,Tiny
Hope Lutheran High School,Hope Lutheran High School,47,Tiny
Hopkins High School,Hopkins High School,2070,VeryLarge
Houston High School,Houston High School,124,Tiny
Howard Lake-Waverly-Winsted H.S.,Howard Lake-Waverly-Winsted H.S.,311,Small
Hutchinson High School,Hutchinson High School,762,Medium
Immanuel Lutheran H.S.,Immanuel Lutheran School,35,Tiny
Indus High School,Indus School in baudette,40,Tiny
International Falls H.S.,International Falls H.S.,387,Small
International School of MN (The),International School of MN (The),141,Tiny
Irondale High School,Irondale High School,1355,Large
Isle High School,Isle High School,121,Tiny
Jackson County Central High School,Jackson County Central High School,310,Small
Janesville-Waldorf-Pemberton H.S.,Janesville-Waldorf-Pemberton School in Janesville,164,Tiny
Jordan High School,Jordan High School,438,Small
Kasson-Mantorville High School,Kasson-Mantorville High School,568,Medium
Kelliher High School,Kelliher High School,49,Tiny
Kenyon-Wanamingo High School,Kenyon-Wanamingo High School,230,Small
Kerkhoven-Murdock-Sunburg H.S.,Kerkhoven-Murdock-Sunburg H.S.,145,Tiny
Kimball Area High School,Kimball Area High School,215,Small
Kingsland High School,Kingsland High School,214,Small
Kittson Central High School,Kittson Central High School,80,Tiny
La Crescent High School,La Crescent High School,475,Small
Lac qui Parle Valley High School,Lac qui Parle Valley High School,250,Small
Lake City High School,Lake City High School,348,Small
Lake Crystal-Wellcome Memorial,Lake Crystal-Wellcome Memorial,209,Small
Lake of the Woods H.S.,lake of the woods school in baudette,158,Tiny
Lake Park-Audubon,Lake Park-Audubon,154,Tiny
Lake Region Christian School,Lake Region Christian School,40,Tiny
Lakeview Christian Academy,Lakeview Christian Academy,60,Tiny
Lakeview High School,Lakeview High School,131,Tiny
Lakeville North High School,Lakeville North High School,1711,Large
Lakeville South High School,Lakeville South High School,1774,Large
Lancaster High School,Lancaster High School in lancaster,40,Tiny
Lanesboro High School,Lanesboro High School in lanesboro,85,Tiny
Laporte High School,Laporte High School in laporte,61,Tiny
Le Center High School,Le Center High School,173,Tiny
Learning for Leadership Charter,Learning for Leadership Charter,28,Tiny
Legacy Christian Academy,Legacy Christian Academy,173,Tiny
LeRoy-Ostrander High School,LeRoy-Ostrander High School,81,Tiny
Lester Prairie High School,Lester Prairie High School,109,Tiny
LeSueur-Henderson High School,LeSueur-Henderson High School,321,Small
Lewiston-Altura High School,Lewiston-Altura High School,233,Small
Liberty Classical Academy,Liberty Classical Academy,33,Tiny
Lincoln H I High School,Lincoln H I High School,93,Tiny
Litchfield High School,Litchfield High School,481,Small
Little Falls High School,Little Falls High School in little falls,654,Medium
Littlefork-Big Falls High School,Littlefork-Big Falls High School,86,Tiny
Long Prairie-Grey Eagle H.S.,Long Prairie-Grey Eagle H.S.,319,Small
Luverne High School,Luverne High School,310,Small
Lyle High School,Lyle High School,49,Tiny
Mabel-Canton High School,Mabel-Canton High School,93,Tiny
MACCRAY High School,MACCRAY High School,188,Tiny
Madelia High School,Madelia High School,139,Tiny
Mahnomen High School,Mahnomen High School,141,Tiny
Mahtomedi High School,Mahtomedi High School,1149,Large
Main Street School of Performing Arts,Main Street School of Performing Arts,226,Small
Mankato East High School,Mankato East High School in Mankato,784,Medium
Mankato Loyola High School,Mankato Loyola High School,150,Tiny
Mankato West High School,Mankato West High School,1007,Large
Maple Grove High School,Maple Grove High School,2142,VeryLarge
Maple Lake High School,Maple Lake High School in Maple Lake,287,Small
Maple River High School,Maple River High School,295,Small
Maranatha Christian Academy,Maranatha Christian Academy,173,Tiny
Marshall County Central H. S.,Marshall County Central H. S.,106,Tiny
Marshall High School,Marshall High School in Marshall,699,Medium
"Marshall School, Duluth","Marshall School, Duluth",236,Small
Martin County West High School,Martin County West High School,214,Small
Martin Luther High School,Martin Luther High School,68,Tiny
Math & Science Academy,Math & Science Academy,128,Tiny
Mayer Lutheran High School,Mayer Lutheran High School,235,Small
McGregor High School,McGregor High School in McGregor,94,Tiny
Medford High School,medford secondary school in medford,215,Small
Melrose Area High School,Melrose Secondary School in Melrose,439,Small
Menahga High School,Menahga High School,163,Tiny
Mesabi Academy School,Mesabi Academy in buhl,21,Tiny
Mesabi East High School,Mesabi East High School in aurora,186,Tiny
Metro Deaf School,Metro Deaf School,28,Tiny
Milaca High School,Milaca High School,436,Small
Minisinaakawang Leadership Academy,Minisinaakwaang Leadership Academy in Mcgregor,7,Tiny
Minneapolis Edison High School,Minneapolis Edison High School,558,Medium
Minneapolis North Community H.S.,Minneapolis North Community H.S.,171,Tiny
Minneapolis Patrick Henry H. S.,Henry High School in minneapolis,747,Medium
Minneapolis Roosevelt High School,Minneapolis Roosevelt High School,563,Medium
Minneapolis South High School,Minneapolis South High School,1587,Large
Minneapolis Southwest High School,Minneapolis Southwest High School,1529,Large
Minneapolis Washburn High School,Minneapolis Washburn High School,741,Medium
Minnehaha Academy,Minnehaha Academy,486,Small
Minneota High School,Minneota High School,135,Tiny
Minnesota New Country School,Minnesota New Country School,66,Tiny
Minnesota Online High School,Minnesota Online High School,125,Tiny
Minnesota State Academy For The Blind,Minnesota State Academy For The Blind,22,Tiny
Minnesota State Academy for the Deaf,Minnesota State Academy for the Deaf,46,Tiny
Minnesota Transitions Charter School,Minnesota Transitions Charter School,157,Tiny
Minnesota Valley Lutheran,Minnesota Valley Lutheran,205,Small
Minnetonka High School,Minnetonka High School,2750,VeryLarge
Minnewaska Area H.S.,Minnewaska Area H.S.,303,Small
Montevideo High School,Montevideo High School,372,Small
Montgomery-Lonsdale High School,Montgomery-Lonsdale High School,290,Small
Monticello High School,Monticello High School,1087,Large
Moorhead High School,Moorhead High School,1356,Large
Moose Lake High School,Moose Lake High School,215,Small
Mora High School,Mora High School,454,Small
Morris Area School,Morris Area School,295,Small
Mounds Park Academy,Mounds Park Academy,243,Small
Mounds View High School,Mounds View High School,1671,Large
Mound-Westonka High School,Mound-Westonka High School,644,Medium
Mountain Iron-Buhl High School,Mountain Iron-Buhl High School,113,Tiny
Mountain Lake High School,Mountain Lake High School,111,Tiny
Mt. Lake Christian High School,Mt. Lake Christian High School in mountain lake,33,Tiny
Murray County Central High School,Murray County Central High School,202,Small
Nashwauk-Keewatin High School,Nashwauk-Keewatin High School,133,Tiny
Nevis High School,Nevis High School in nevis,136,Tiny
New Century Charter School,New Century Charter School,91,Tiny
New Life Academy of Woodbury,New Life Academy of Woodbury,239,Small
New London-Spicer High School,New London-Spicer High School,446,Small
New Prague High School,New Prague High School,1111,Large
New Richland-H-E-G H.S.,New Richland-H-E-G H.S.,264,Small
New Testament Christian School,New Testament Christian School,19,Tiny
New Ulm Cathedral High School,New Ulm Cathedral High School,152,Tiny
New Ulm High School,New Ulm High School,589,Medium
New York Mills High School,New York Mills High School,158,Tiny
Nicollet High School,Nicollet High School,90,Tiny
Norman County East High School,Norman County East High School,95,Tiny
Norman County West High School,Norman County West High School,65,Tiny
North Branch High School,North Branch High School,945,Medium
North High School,North High School,1671,Large
North Lakes Academy,North Lakes Academy,126,Tiny
North Woods High School,Cook school in cook,86,Tiny
Northeast Range High School,High School in babbitt,91,Tiny
Northfield High School,Northfield High School in Northfield,1173,Large
Northland High School,Northland High School,109,Tiny
Northome High School,Northome High School in northome,53,Tiny
Northwest Passage Charter High School,Northwest Passage Charter High School in coon rapids,147,Tiny
Norwood-Young America High School,Central High School in Norwood,331,Small
Nova Classical Academy,Nova Classical Academy,54,Tiny
Ogilvie High School,Ogilvie High School,155,Tiny
Onamia High School,Onamia High School,133,Tiny
Orono High School,Orono High School,876,Medium
Ortonville High School,Ortonville High School,183,Tiny
Osakis High School,Osakis High School,237,Small
Osseo High School,Osseo High School,1823,Large
Owatonna High School,Owatonna High School in Owatonna,1442,Large
PACT Charter School,PACT Charter School,191,Tiny
Park Center High School,Park Center High School,1471,Large
Park Christian High School,Park Christian High School in moorhead,106,Tiny
Park High School,Park High School,1656,Large
Park Rapids Area High School,Park Rapids Area High School,405,Small
Parkers Prairie High School,Parkers Prairie School in Parkers Prairie,159,Tiny
Paynesville Area High School,Paynesville Area High School,267,Small
Pelican Rapids High School,Pelican Rapids High School,266,Small
Pequot Lakes High School,Pequot Lakes High School,427,Small
Perham High School,Perham High School,413,Small
Perpich Center for Arts Education,Perpich Center for Arts Education,259,Small
Pierz High School,Pierz High School in pierz,309,Small
Pillager High School,Pillager High School in pillager,200,Tiny
Pine City High School,Pine City High School,395,Small
